"scale_deg"	"mode"	"count"	"rule"	"step"
"I"	"major"	1.0	"CFRule(mode_change)"	-1
"I"	"major"	1.0	"CFRule(diatonic_subs)"	-1
"I"	"major"	1.0	"CFRule(plagal_prep)"	-1
"I"	"major"	1.0	"CFRule(diatonic_prep)"	-1
"I"	"major"	1.0	"CFRule(prolongation)"	-1
"I"	"major"	0.3333333333333333	"CFRule(rule42)"	-1
"I"	"major"	0.3333333333333333	"CFRule(rule43)"	-1
"I"	"major"	0.3333333333333333	"CFRule(rule44)"	-1
"I"	"minor"	1.0	"CFRule(mode_change)"	-1
"I"	"minor"	1.0	"CFRule(diatonic_subs)"	-1
"I"	"minor"	1.0	"CFRule(plagal_prep)"	-1
"I"	"minor"	1.0	"CFRule(diatonic_prep)"	-1
"I"	"minor"	1.0	"CFRule(prolongation)"	-1
"I"	"minor"	0.3333333333333333	"CFRule(rule61)"	-1
"I"	"minor"	0.3333333333333333	"CFRule(rule62)"	-1
"I"	"minor"	0.3333333333333333	"CFRule(rule60)"	-1
"II"	"major"	1.0	"CFRule(modulation)"	-1
"II"	"major"	1.0	"CFRule(diatonic_subs)"	-1
"II"	"major"	1.0	"CFRule(dominant_prep)"	-1
"II"	"major"	1.0	"CFRule(diatonic_prep)"	-1
"II"	"major"	1.0	"CFRule(prolongation)"	-1
"II"	"major"	0.5	"CFRule(rule45)"	-1
"II"	"major"	0.5	"CFRule(rule46)"	-1
"II"	"minor"	1.0	"CFRule(rule63)"	-1
"II"	"minor"	1.0	"CFRule(modulation)"	-1
"II"	"minor"	1.0	"CFRule(diatonic_subs)"	-1
"II"	"minor"	1.0	"CFRule(dominant_prep)"	-1
"II"	"minor"	1.0	"CFRule(diatonic_prep)"	-1
"II"	"minor"	1.0	"CFRule(prolongation)"	-1
"III"	"major"	1.0	"CFRule(modulation)"	-1
"III"	"major"	1.0	"CFRule(dominant_prep)"	-1
"III"	"major"	1.0	"CFRule(diatonic_prep)"	-1
"III"	"major"	1.0	"CFRule(prolongation)"	-1
"III"	"major"	0.5	"CFRule(rule48)"	-1
"III"	"major"	0.5	"CFRule(rule47)"	-1
"III"	"minor"	1.0	"CFRule(modulation)"	-1
"III"	"minor"	1.0	"CFRule(dominant_prep)"	-1
"III"	"minor"	1.0	"CFRule(diatonic_prep)"	-1
"III"	"minor"	1.0	"CFRule(prolongation)"	-1
"III"	"minor"	0.3333333333333333	"CFRule(rule64)"	-1
"III"	"minor"	0.3333333333333333	"CFRule(rule66)"	-1
"III"	"minor"	0.3333333333333333	"CFRule(rule65)"	-1
"IV"	"major"	1.0	"CFRule(modulation)"	-1
"IV"	"major"	1.0	"CFRule(dominant_prep)"	-1
"IV"	"major"	1.0	"CFRule(prolongation)"	-1
"IV"	"major"	0.3333333333333333	"CFRule(rule51)"	-1
"IV"	"major"	0.3333333333333333	"CFRule(rule50)"	-1
"IV"	"major"	0.3333333333333333	"CFRule(rule49)"	-1
"IV"	"minor"	1.0	"CFRule(modulation)"	-1
"IV"	"minor"	1.0	"CFRule(dominant_prep)"	-1
"IV"	"minor"	1.0	"CFRule(prolongation)"	-1
"IV"	"minor"	0.5	"CFRule(rule67)"	-1
"IV"	"minor"	0.5	"CFRule(rule68)"	-1
"V"	"major"	1.0	"CFRule(diatonic_prep)"	-1
"V"	"major"	1.0	"CFRule(modulation)"	-1
"V"	"major"	1.0	"CFRule(dominant_prep)"	-1
"V"	"major"	1.0	"CFRule(octa_dom_subs6)"	-1
"V"	"major"	1.0	"CFRule(prolongation)"	-1
"V"	"major"	1.0	"CFRule(diatonic_subs)"	-1
"V"	"major"	1.0	"CFRule(octa_dom_subs9)"	-1
"V"	"major"	1.0	"CFRule(octa_dom_subs3)"	-1
"V"	"major"	0.2	"CFRule(rule82)"	-1
"V"	"major"	0.2	"CFRule(rule53)"	-1
"V"	"major"	0.2	"CFRule(rule52)"	-1
"V"	"major"	0.2	"CFRule(rule54)"	-1
"V"	"major"	0.2	"CFRule(rule55)"	-1
"V"	"minor"	1.0	"CFRule(diatonic_prep)"	-1
"V"	"minor"	1.0	"CFRule(modulation)"	-1
"V"	"minor"	1.0	"CFRule(dominant_prep)"	-1
"V"	"minor"	1.0	"CFRule(octa_dom_subs6)"	-1
"V"	"minor"	1.0	"CFRule(prolongation)"	-1
"V"	"minor"	1.0	"CFRule(diatonic_subs)"	-1
"V"	"minor"	1.0	"CFRule(octa_dom_subs9)"	-1
"V"	"minor"	1.0	"CFRule(octa_dom_subs3)"	-1
"V"	"minor"	0.16666666666666666	"CFRule(rule69)"	-1
"V"	"minor"	0.16666666666666666	"CFRule(rule74)"	-1
"V"	"minor"	0.16666666666666666	"CFRule(rule73)"	-1
"V"	"minor"	0.16666666666666666	"CFRule(rule70)"	-1
"V"	"minor"	0.16666666666666666	"CFRule(rule72)"	-1
"V"	"minor"	0.16666666666666666	"CFRule(rule71)"	-1
"VI"	"major"	1.0	"CFRule(modulation)"	-1
"VI"	"major"	1.0	"CFRule(dominant_prep)"	-1
"VI"	"major"	1.0	"CFRule(diatonic_prep)"	-1
"VI"	"major"	1.0	"CFRule(prolongation)"	-1
"VI"	"major"	0.5	"CFRule(rule57)"	-1
"VI"	"major"	0.5	"CFRule(rule56)"	-1
"VI"	"minor"	1.0	"CFRule(modulation)"	-1
"VI"	"minor"	1.0	"CFRule(dominant_prep)"	-1
"VI"	"minor"	1.0	"CFRule(diatonic_prep)"	-1
"VI"	"minor"	1.0	"CFRule(prolongation)"	-1
"VI"	"minor"	0.3333333333333333	"CFRule(rule77)"	-1
"VI"	"minor"	0.3333333333333333	"CFRule(rule76)"	-1
"VI"	"minor"	0.3333333333333333	"CFRule(rule75)"	-1
"VII"	"major"	1.0	"CFRule(modulation)"	-1
"VII"	"major"	1.0	"CFRule(dominant_prep)"	-1
"VII"	"major"	1.0	"CFRule(diatonic_prep)"	-1
"VII"	"major"	1.0	"CFRule(prolongation)"	-1
"VII"	"major"	0.5	"CFRule(rule58)"	-1
"VII"	"major"	0.5	"CFRule(rule59)"	-1
"VII"	"minor"	1.0	"CFRule(modulation)"	-1
"VII"	"minor"	1.0	"CFRule(dominant_prep)"	-1
"VII"	"minor"	1.0	"CFRule(diatonic_prep)"	-1
"VII"	"minor"	1.0	"CFRule(prolongation)"	-1
"VII"	"minor"	0.25	"CFRule(rule78)"	-1
"VII"	"minor"	0.25	"CFRule(rule81)"	-1
"VII"	"minor"	0.25	"CFRule(rule79)"	-1
"VII"	"minor"	0.25	"CFRule(rule80)"	-1
"I"	"major"	327.3333333333333	"CFRule(rule43)"	0
"I"	"major"	206.0	"CFRule(mode_change)"	0
"I"	"major"	192.0	"CFRule(diatonic_subs)"	0
"I"	"major"	182.0	"CFRule(diatonic_prep)"	0
"I"	"major"	161.0	"CFRule(plagal_prep)"	0
"I"	"major"	117.0	"CFRule(prolongation)"	0
"I"	"major"	82.33333333333333	"CFRule(rule44)"	0
"I"	"major"	63.33333333333333	"CFRule(rule42)"	0
"I"	"minor"	342.0	"CFRule(diatonic_subs)"	0
"I"	"minor"	278.3333333333333	"CFRule(rule61)"	0
"I"	"minor"	193.0	"CFRule(diatonic_prep)"	0
"I"	"minor"	184.0	"CFRule(mode_change)"	0
"I"	"minor"	148.0	"CFRule(plagal_prep)"	0
"I"	"minor"	109.0	"CFRule(prolongation)"	0
"I"	"minor"	42.33333333333333	"CFRule(rule60)"	0
